type produit;numero AMM;nom produit;catégorie de condition d’emploi;condition d’emploi libelle;
PPP;8800006;DIMATE BF 400;Protection de l'opérateur;Condition: Porter des protections individuelles (gants, vêtement de protection) appropriées lors de l'ensemble des étapes de manipulation et d'application du produit.;
PPP;8800006;DIMATE BF 400;Délai de rentrée;Condition: - Délai de rentrée : 48 heures en application de l'arrêté du 12 septembre 2006.;
PPP;8800006;DIMATE BF 400;Etiquetage;Condition: EUH 208 Contient de l'anhydride maléique. Peut produire une réaction allergique.;
PPP;8800006;DIMATE BF 400;Délai de rentrée;Condition:  - Délai de rentrée : 48 heures en application de l'arrêté du 12 septembre 2006.;
PPP;7700385;FUMIGAM;Environnement faune;Condition: - SPe Pour protéger les organismes du sol, ne pas appliquer ce produit ou tout autre produit contenant du metam-sodium plus de une fois tous les trois ans.;
PPP;7700385;FUMIGAM;Environnement milieu;Condition: - SP 1 : Ne pas polluer l'eau avec le produit ou son emballage. [Ne pas nettoyer le matériel d'application près des eaux de surface. / Éviter la contamination via les systèmes d'évacuation des eaux à partir des cours de ferme ou des routes].;
PPP;7700385;FUMIGAM;Protection de l'opérateur;Condition: o	Pendant le mélange/chargement -	Gants en nitrile certifiés EN 374-3.  -	Combinaison de protection de catégorie III type 3  -	Bottes de protection conformes selon la norme EN 13 832-3. -	Protections respiratoires certifiées : masque visage entier certifié (EN 140) équipé d'un filtre A2B2-P3 ou similaire (EN 14387) o	Application par injection et décompactage du sol après application : -	Gants en cas d'intervention (EN 374-3) -	Combinaison de protection de catégorie III type 3  -	Tracteur avec cabine certifiée en catégorie 4 (EN 15695-1 standard) o	Application par irrigation : (Plein champ et sous abri) -	Gants en nitrile certifiés EN 374-3.  -	Combinaison de protection de catégorie III type 3 .  -	Bottes de protection conformes selon la norme EN 13 832-3. -	Protections respiratoires certifiées : masque visage entier certifié (EN 140) équipé d'un filtre A2B2-P3 ou similaire (EN 14387) o	Pendant le nettoyage du matériel d'application : - Gants en nitrile certifiés EN 374-3.  -	Combinaison de protection de catégorie III type 3 .  - Bottes de protection conformes selon la norme EN 13 832-3. - Protections respiratoires certifiées : masque visage entier certifié (EN 140) équipé d'un filtre A2B2-P3 ou similaire (EN 14387) o	Lors de la ventilation de la serre et du retrait ou du perçage de la bâche (post irrigation en plein champ et en serre) - Gants en nitrile certifiés EN 374-3.  - Combinaison de protection de catégorie III type 3 . - Protections respiratoires certifiées : masque visage entier certifié (EN 140) équipé d'un filtre A2B2-P3 ou similaire (EN 14387);
PPP;7700385;FUMIGAM;Protection du travailleur;Condition: en rentrée (exemples de tâches : tâches culturales), porter:  -	Gants en nitrile certifiés EN 374-3.  -	Combinaison de travail en polyester 65%/coton 35% avec un grammage de 230 g/m2 ou plus avec traitement déperlant.  -	Protections respiratoires certifiées : masque visage entier certifié (EN 140) équipé d'un filtre A2B2-P3 ou similaire (EN 14387);
PPP;7700385;FUMIGAM;Délai de rentrée;Condition: o	Dans le cadre d'un traitement par irrigation (plein champ et sous abri) : -	Pour les tâches de retrait et/ou perçage du film étanche, ventilation de la serre, démontage des tunnels : 18 (+/- 1) jours après traitement avec le port d'un masque de type A2B2-P3 .  -	Tâches culturales : aucune donnée  o	Dans le cadre d'un traitement par injection : -	Tâches culturales : aucune donnée ne permet d'évaluer l'exposition et le délai de rentrée.;
PPP;7700385;FUMIGAM;Autres mesures de protection;Condition: o	Conformément au règlement d'exécution (UE) n° 359/2012 un film étanche (par exemple de type PE/PA  ou PE/EVOH  conforme aux normes NF-T-54-195-1 et NF-T-54-195-2) doit être utilisée dans le cadre des applications par irrigation. o	Irrigation goutte à goutte en plein champ pour les adultes à partir de 15 mètres (personnes présentes) . o	Irrigation goutte à goutte sous abri pour les adultes à partir de 5 mètres et de 15 mètres pour les enfants (personnes présentes), et à partir de 15 mètres pour les adultes uniquement (résidents) . o	Perçage des trous dans le film.;
PPP;7700385;FUMIGAM;Utilisation;Condition: Il est recommandé d'attendre 21 jours après application de la préparation FUMIGAM avant mise en place de la culture.;
PPP;9900133;MILORD;Délai de rentrée;Condition: - 48 heures ;
PPP;9900133;MILORD;Protection de l'opérateur;Condition: - Porter des gants et des vêtements de protection appropriés pendant les opérations de mélange/chargement et de traitement.;
PPP;9900133;MILORD;Environnement faune;Condition: - SPe3 : Pour protéger les organismes aquatiques, respecter une zone non traitée de 5 mètres par rapport au point d'eau.;
PPP;2180347;APPLAUD STAR;Utilisation;Condition: - Agiter avant l'application.;
PPP;2180347;APPLAUD STAR;Etiquetage;Condition: - EUH208 : Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique.;
PPP;2180347;APPLAUD STAR;Délai de rentrée;Condition: - 8 heures en milieu fermé;
PPP;2180347;APPLAUD STAR;Protection du travailleur;Condition: - Porter une combinaison de travail (cotte en coton/polyester 35 %/65 % - grammage d'au moins 230 g/m²) avec traitement déperlant et, en cas de contact avec la culture traitée, des gants en nitrile certifiés EN 374-3.;
