numero AMM;nom produit;identifiant usage; date decision;stade cultural min (BBCH);tade cultural max (BBCH);etat usage;dose retenue;dose retenue unite;delai avant recolte jour;delai avant recolte bbch;nombre max d'application;date fin distribution;date fin utilisation;condition emploi;ZNT aquatique (en m);ZNT arthropodes non cibles (en m);ZNT plantes non cibles (en m);mentions autorisees;intervalle minimum entre applications (jour);
8800006;DIMATE BF 400;Artichaut*Trt Part.Aer.*Pucerons;26/09/2012;;;Retrait;0.6;L/ha;;;3;31/03/2013;31/03/2014;;;;;;;
8800006;DIMATE BF 400;Carotte*Trt Part.Aer.*Mouches;;;;Retrait;0.5;L/ha;;;3;;;;;;;;;
8800006;DIMATE BF 400;Chicorées - Production de racines*Trt Sol*Mouches;;;;Retrait;0.75;L/ha;;;;;;;;;;;;
8800006;DIMATE BF 400;Choux*Trt Part.Aer.*Pucerons;;;;Retrait;0.6;L/ha;;;2;;;;;;;;;
8800006;DIMATE BF 400;Laitue*Trt Part.Aer.*Pucerons;;;;Retrait;0.6;L/ha;;;1;;;;;;;;;
8800006;DIMATE BF 400;Cucurbitacées à peau non comestible*Trt Part.Aer.*Acariens;;;;Retrait;;;;;;;;;;;;;;
8800006;DIMATE BF 400;Pêcher - Abricotier*Trt Part.Aer.*Mouches des fruits;;;;Retrait;0.075;L/hL;;;;;;;;;;;;
8800006;DIMATE BF 400;Pois*Trt Part.Aer.*Pucerons (1);;;;Retrait;0.75;L/ha;;;;;;;;;;;;
8800006;DIMATE BF 400;Fruits à pépins*Trt Part.Aer.*Acariens et phytoptes;;;;Retrait;;;;;;;;;;;;;;
8800006;DIMATE BF 400;Fruits à pépins*Trt Part.Aer.*Chenilles foreuses des fruits;;;;Retrait;0.075;L/hL;;;;;;;;;;;;
8800006;DIMATE BF 400;Fruits à pépins*Trt Part.Aer.*Pucerons;;;;Retrait;0.06;L/hL;;;2;;;;;;;;;
8800006;DIMATE BF 400;Vigne*Trt Part.Aer.*Acariens;;;;Retrait;0.75;L/ha;;;;;;;;;;;;
8800006;DIMATE BF 400;Asperge*Trt Part.Aer.*Mouches;01/02/2016;;;Retrait;0.125;L/hL;;;2;15/02/2016;15/02/2016;;;;;;;
8800006;DIMATE BF 400;Cerisier*Trt Part.Aer.*Mouches des fruits;01/02/2016;;;Retrait;0.375;L/ha;14;;1;15/02/2016;15/02/2016;;;;;;;
