type produit;numero AMM;nom produit;seconds noms commerciaux;titulaire;type commercial;gamme usage;mentions autorisees;Substances actives;fonctions;formulations;identifiant usage lib court;identifiant usage; date decision;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;dose retenue;dose retenue unite;delai avant recolte jour;delai avant recolte bbch;nombre max d'application;date fin distribution;date fin utilisation;condition emploi;ZNT aquatique (en m);ZNT arthropodes non cibles (en m);ZNT plantes non cibles (en m);mentions autorisees;
PPP;2180347;APPLAUD STAR;;Nichino Europe Co., Ltd;Produit de référence;Professionnel;;buprofézine (Buprofezin) 250.0 g/L;Insecticide;Suspension concentrée;01002019;Arbres et arbustes*Trt Part.Aer.*Aleurodes;03/10/2018;11;89;Autorisé;1.0;L/ha;;;3;;;Uniquement autorisé sous abri Intervalle minimum entre les applications : 7 jours;;;;;
PPP;2180347;APPLAUD STAR;;Nichino Europe Co., Ltd;Produit de référence;Professionnel;;buprofézine (Buprofezin) 250.0 g/L;Insecticide;Suspension concentrée;17303117;Rosier*Trt Part.Aer.*Aleurodes;03/10/2018;11;89;Autorisé;1.0;L/ha;;;3;;;Uniquement autorisé sous abri Intervalle minimum entre les applications : 7 jours;;;;;
PPP;2180347;APPLAUD STAR;;Nichino Europe Co., Ltd;Produit de référence;Professionnel;;buprofézine (Buprofezin) 250.0 g/L;Insecticide;Suspension concentrée;17403102;Cultures florales et plantes vertes*Trt Part.Aer.*Aleurodes;03/10/2018;11;89;Autorisé;1.0;L/ha;;;3;;;Uniquement autorisé sous abri Intervalle minimum entre les applications : 7 jours;;;;;
PPP;2010100;INSECTES ET MALADIES CPJ;;COMPAGNIE DES PRODUITS POUR LE JARDIN;Produit de référence;Amateur / emploi autorisé dans les jardins;Liste biocontrôle | Production biologique amateur | Emploi autorisé dans les jardins;soufre (Sulphur) 5.92 g/L | acides gras C7 à C18 et C18 insaturé (sels de potassium) (Fatty acids) 9.75 g/L;Insecticide | Fongicide;Autre liquide;00701017;Plantes d'intérieur et balcons*Trt Part.Aer.*Aleurodes;10/08/2020;;;Autorisé;1.0;L/10 m²;;;5;;;Époque  d'application sur les plantes en extérieur : avril à octobre. Application jusqu'à la limite du ruissellement.;;;;;
PPP;2010100;INSECTES ET MALADIES CPJ;;COMPAGNIE DES PRODUITS POUR LE JARDIN;Produit de référence;Amateur / emploi autorisé dans les jardins;Liste biocontrôle | Production biologique amateur | Emploi autorisé dans les jardins;soufre (Sulphur) 5.92 g/L | acides gras C7 à C18 et C18 insaturé (sels de potassium) (Fatty acids) 9.75 g/L;Insecticide | Fongicide;Autre liquide;00701018;Plantes d'intérieur et balcons*Trt Part.Aer.*Cochenilles;10/08/2020;;;Autorisé;1.0;L/10 m²;;;5;;;Époque  d'application sur les plantes en extérieur : avril à octobre. Application jusqu'à la limite du ruissellement.;;;;;
PPP;2010100;INSECTES ET MALADIES CPJ;;COMPAGNIE DES PRODUITS POUR LE JARDIN;Produit de référence;Amateur / emploi autorisé dans les jardins;Liste biocontrôle | Production biologique amateur | Emploi autorisé dans les jardins;soufre (Sulphur) 5.92 g/L | acides gras C7 à C18 et C18 insaturé (sels de potassium) (Fatty acids) 9.75 g/L;Insecticide | Fongicide;Autre liquide;00701011;Plantes d'intérieur et balcons*Trt Part.Aer.*Maladies des taches foliaires;10/08/2020;;;Autorisé;1.0;L/10 m²;;;5;;;Époque  d'application sur les plantes en extérieur : avril à octobre. Application jusqu'à la limite du ruissellement.;;;;;
PPP;2010100;INSECTES ET MALADIES CPJ;;COMPAGNIE DES PRODUITS POUR LE JARDIN;Produit de référence;Amateur / emploi autorisé dans les jardins;Liste biocontrôle | Production biologique amateur | Emploi autorisé dans les jardins;soufre (Sulphur) 5.92 g/L | acides gras C7 à C18 et C18 insaturé (sels de potassium) (Fatty acids) 9.75 g/L;Insecticide | Fongicide;Autre liquide;00701013;Plantes d'intérieur et balcons*Trt Part.Aer.*Oïdium(s);10/08/2020;;;Autorisé;1.0;L/10 m²;;;5;;;Époque  d'application sur les plantes en extérieur : avril à octobre. Application jusqu'à la limite du ruissellement.;;;;;
PPP;2010100;INSECTES ET MALADIES CPJ;;COMPAGNIE DES PRODUITS POUR LE JARDIN;Produit de référence;Amateur / emploi autorisé dans les jardins;Liste biocontrôle | Production biologique amateur | Emploi autorisé dans les jardins;soufre (Sulphur) 5.92 g/L | acides gras C7 à C18 et C18 insaturé (sels de potassium) (Fatty acids) 9.75 g/L;Insecticide | Fongicide;Autre liquide;00701020;Plantes d'intérieur et balcons*Trt Part.Aer.*Pucerons;10/08/2020;;;Autorisé;1.0;L/10 m²;;;5;;;Époque  d'application sur les plantes en extérieur : avril à octobre. Application jusqu'à la limite du ruissellement.;;;;;
PPP;2010100;INSECTES ET MALADIES CPJ;;COMPAGNIE DES PRODUITS POUR LE JARDIN;Produit de référence;Amateur / emploi autorisé dans les jardins;Liste biocontrôle | Production biologique amateur | Emploi autorisé dans les jardins;soufre (Sulphur) 5.92 g/L | acides gras C7 à C18 et C18 insaturé (sels de potassium) (Fatty acids) 9.75 g/L;Insecticide | Fongicide;Autre liquide;17453200;Plantes d'intérieur et balcons*Trt Part.Aer.*Maladies diverses (1);03/05/2007;;;Retrait;;;;;;30/06/2008;31/12/2007;;;;;;
PPP;2010100;INSECTES ET MALADIES CPJ;;COMPAGNIE DES PRODUITS POUR LE JARDIN;Produit de référence;Amateur / emploi autorisé dans les jardins;Liste biocontrôle | Production biologique amateur | Emploi autorisé dans les jardins;soufre (Sulphur) 5.92 g/L | acides gras C7 à C18 et C18 insaturé (sels de potassium) (Fatty acids) 9.75 g/L;Insecticide | Fongicide;Autre liquide;17453100;Plantes d'intérieur et balcons*Trt Part.Aer.*Ravageurs divers (1);03/05/2007;;;Retrait;;;;;;30/06/2008;31/12/2007;;;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12103201;Amandier*Trt Part.Aer.*Cloque(s);15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12103202;Amandier*Trt Part.Aer.*Coryneum;15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12103203;Amandier*Trt Part.Aer.*Moniliose(s);15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;01108014;Carotte*Trt Part.Aer.*Bactériose(s);15/07/2025;15;47;Autorisé;5.0;g/10 m²;14;;4;;;Uniquement sur céleri rave, panais, raifort, topinambour, persil à grosse racine, salsifis et scorsonère. ;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16203204;Carotte*Trt Part.Aer.*Champignons (pythiacées);15/07/2025;15;47;Autorisé;5.0;g/10 m²;14;;4;;;Uniquement sur céleri rave, panais, raifort, topinambour, persil à grosse racine, salsifis et scorsonère. ;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16203203;Carotte*Trt Part.Aer.*Maladies des taches brunes;15/07/2025;15;47;Autorisé;5.0;g/10 m²;14;;4;;;Uniquement sur céleri rave, panais, raifort, topinambour, persil à grosse racine, salsifis et scorsonère. ;5.0;;;;
